race,kategori,rekomendasi,gambar,style,price,gender,Inspo
black,"Cap, Shirt, Tank Top, Jeans, Shoes","Essential Cotton Frayed Edge Cap, Dark Green Stripe Relaxed Structured Shirt, Dusty Khaki Standard Tank Top, Stained Blue Galaxy Loose Straight Jeans, Dr. Martens Vintage 2976 Leather Chelsea Boots Black","essential-cotton-frayed-edge-cap.jpg, green-relaxed-structured-shirt.jpg, cream-standard-tank-top.jpg, galaxy-loose-straight-jeans.jpg, dr-martens-vintage-2976-leather-chelsea-boots-black.jpg",Casual,"374000, 824000, 250000, 1000000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F2e%2Fb6%2F2eb69afafd80ef91c5e4ffd61a44832207b5f34f.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Necklace, Shirt, Trousers, Shoes","Jace Necklace, Eleven Grey Tyler Lightweight Denim Shirt, Soft Stripe Dream Loose Linen Mix Trousers, Vans Old Skool Black","jace-necklace.jpg, tyler-lightweight-denim-shirt.jpg, dream-loose-linen-mix-trousers.jpg, vans-old-skool.jpg",Formal,"824000, 1000000, 1044000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2Fd8%2F98%2Fd8980a75a9a3715e3624e2c9cc4dc24af25c1769.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Necklace, Shirt, Jeans, Shoes","Jace Necklace, Relaxed Resort Terry Shirt, Space Relaxed Straight Jeans, Adidas Handball Spezial Low","jace-necklace.jpg, relaxed-resort-terry-shirt.jpg, space-relaxed-straight-jeans.jpg, adidas-handball-spezial-low.jpg",Formal,"320000, 820000, 1000000, 2500000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F04%2F89%2F048943f0b4c5c83653bd146833b22d3488bd32fd.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
black,"Necklace, Shirt, Jeans, Shoes","Jace Necklace, Eleven Grey Tyler Lightweight Denim Shirt, Space Relaxed Straight Jeans, Vans Old Skool Shoes","jace-necklace.jpg, tyler-lightweight-denim-shirt.jpg, space-relaxed-straight-jeans.jpg, vans-old-skool.jpg",Formal,"320000, 1000000, 1000000, 1044000",Man,
black,"Sunglasses, Top, Shirt, Pants , Shoes","Dark Brown Sunglasses, Dark Green Long Sleeve Shirt, White Crew-neck T-shirt, Beige Chinos, White Canvas Low Top Sneakers","dark-brown-sunglasses.jpg, dark-green-long-sleeve-shirt.jpg, white-crewneck-tshirt.jpg, beige-chinos.jpg, white-canvas-lowtop-sneakers.jpg",Casual,"300000, 180000, 150000, 250000, 800000",Man,https://lookastic.com/men/looks/summer/casual/fashion-over-40
black,"Top, Shirt, Pants, Shoes","White Short Sleeve Shirt, White Crew-neck T-shirt, Beige Check Chinos, White Canvas Low-top Sneakers","white-short-sleeve-shirt.jpg, white-crewneck-tshirt.jpg, beige-checkers chinos.jpg, white-canvas-lowtop-sneakers.jpg",Casual,"400000, 150000, 400000, 800000",Man,https://lookastic.com/men/looks/summer/casual
black,"Top, Pants, Shoes","Brown Long Sleeve Crop-top Hoodie, Chocolate Brown Joggers, Converse Run Star Hike Brown Sneakers","brown-long-sleeve-croptop-hoodie.jpg, chocolate-brown-joggers.jpg, converse-run-star-hike-brown-sneakers.jpg",Formal,"400000, 420000, 2500000",Woman,https://www.pinterest.com/pin/brown-outfit-ideas--473159504613623938/
black,"Top, Shorts, Shoes","Rainbow Sweater Turtleneck, H&M Green Cargo Shorts, Chalk Kitten Heel Lace-up Ankle Boots","rainbow-sweater-turtleneck.jpg, h-and-m-green-cargo-shorts.jpg, chalk-kitten-heel-laceup-ankle-boots.jpg",Casual,"300000, 390000, 430000",Woman,https://www.purewow.com/fashion/may-outfit-ideas
white,"Turtleneck, Skirt, Shoes","H&M Ribbed Mock Turtleneck, Love Bonito Elinie Pleated Midi Skirt, Modshoes the Faye Ladies Brogue","ribbed-mock-turtleneck-top.jpg, flared-pleated-knee-length-skirt.jpg, modshoes-the-faye-ladies-brogue.jpg",Vintage,"200000, 749000, 600000",Woman,https://www.mansworldindia.com/wp-content/uploads/2020/12/queens-gambit-fashion-2020.png
white,"Blouse, Skirt, Shoes","Top Animal Print, Vista Pastel Fresh Long Skirt, Viditi Seoul High Heels","blousetop-animal-print.jpg, vista-pastel-fresh-long-skirt.jpg, viditi-seoul-high-heels.jpg",Vintage,"40000, 500000, 250000",Woman,https://outfittrends.b-cdn.net/wp-content/uploads/2015/05/784f59aa18571b854d9f7402657f7396.jpg.webp
white,"Hoodie, Sweatpants, Sandals","Off-White Cropped Hoodie, Off-White Black Sweatpants, Off-White Black 'Meteor' Slides","offwhite-cropped-hoodie.jpg, offwhite-black-sweatpants.jpg, offwhite-black-meteor-sandals.jpg",Casual,"1030000, 5600000, 3550000",Woman,https://www.vitkac.com/us/p/sweatpants-with-logo-off-white-1-trousers-1615395
white,"Jumpsuit, Sandals","Zara Rustic Beige Jumpsuit With Belt, Velcro Sandals","zara-rustic-beige-jumpsuit-with-belt.jpg, velcro-sandals.jpg",Casual,"654000, 5200000",Woman,https://www.instagram.com/p/CsUP4hcMpqw/?hl=en
white,"Shirt, Pants, Shoes","Cotton Striped Shirt Blue, High Waist Linen Pants, Casual White Sneakers","cotton-striped-shirt-blue.jpg, high-waisted-linen-pants.jpg, casual-white-sneakers.jpg",Casual,"370000, 200000, 600000",Woman,https://www.instagram.com/p/CsZaSNcNjL3/?hl=en
white,"Sunglasses, Shirt, Shorts, Bracelet","Trek Sunglasses, Black Shirt, Astro Denim Loose Baggy Shorts, John Bracelet","trek-sunglasses.jpg, black-shirt.jpg, astro-denim-loose-baggy-shorts.jpg, john-bracelet.jpg",Casual,"600000, 890000, 890000, 230000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2F25%2Fc5%2F25c5fc463ac0e1b6232e1998310ddf0948c4cf1a.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"T-Shirt, Trousers, Sandals","Fine Black T-Shirt, Chase Pull On Trousers, Flat Sandals","fine-tshirt.jpg, chase-pull-on-trousers.jpg, flat-sandals.jpg",Street,"380000, 1000000, 250000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B2%5D,origin%5Bdam%5D,source%5B%2Fa7%2F76%2Fa7769f8435de8954b8cf0ea1b613b6e1d1c8eade.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Ear Cuffs, Dress, Rings, Shoes","Cay Ear Cuffs, Lycke Shoulder Dress, Leona Toe Ring Set, Ann Demeulemesteer Black Wedge Mules","cay-ear-cuffs.jpg, lycke-shoulder-dress.jpg, leona-toe-ring-set.jpg, ann-demeulemesteer-black-wedge-mules.jpg",Casual,"225000, 1000000, 200000, 800000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B450%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fb4%2Fea%2Fb4ea6c6fa008762b88b71022983914e905da4e05.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Shirt, Tank Top, Jeans","Cotton Poplin Shirt, Clean Fitted Tank Top, Arrow Low Heavy Stitching","cotton-poplin-shirt.jpg, clean-fitted-tank-top.jpg, arrow-low-heavy-stitching.jpg",Casual,"750000, 150000, 1200000",Woman,"https://lp.weekday.com/app003prod?set=key[resolve.pixelRatio],value[]&set=key[resolve.width],value[475]&set=key[resolve.height],value[10000]&set=key[resolve.imageFit],value[containerwidth]&set=key[resolve.allowImageUpscaling],value[0]&set=key[resolve.format],value[jpeg]&set=key[resolve.quality],value[90]&set=source[/33/5d/335d07ffb3e5396fb864aa542c9c6046921ddddb.jpg],origin[dam],type[LOOKBOOK],ImageVersion[1]&call=url[file:/product/dynamic.chain]"
white,"Earrings, Shirt, Skirt","Kate Earrings, Ava Linen Mix Short Sleeve Shirt, Rhea Long Denim Skirt","kate-earrings.jpg, ava-linen-mix-short-sleeve-shirt.jpg, rhea-long-denim-skirt.jpg",Casual,"800000,  250000, 970000",Woman,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Fcf%2Fb8%2Fcfb800023a9425db632e5905b45621b74c359535.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
white,"Denim Jacket, Vest, Chino, Belt, Sneakers","Loose Fit Denim Jacket, Rompi Rajut Middle Gauge Kerah Bulat, Chino Skinny Fit, Italian Leather Vintage Narrow Belt, Nike Air Force 1 Sneaker","loose-fit-denim-jacket.jpg, rompi-rajut-middle-gauge-kerah-bulat.jpg, chino-skinny-fit.jpg, italian-leather-vintage-narrow-belt.jpg, nike-air-force-1-sneaker.jpg",Casual,"800000, 300000, 600000, 499000, 1549000",Man,https://api.fastretailing.com/ugc/v1/uq/gl/OFFICIAL_IMAGES/221202081545_official_styling_130013462
white,"T-Shirt, Jeans, Shoes","White T-Shirt, Astro Loose Baggy Jeans, Adidas Velosamba Vegan Cycling Shoes","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Man,
white,"Earrings, Shirt, Tank Top, Bracelet, Shorts, Sneaker","Cay Ear Cuffs, Cream Relaxed Terry Shirt, Standard White Tank Top, John Bracelet, Men Slim Fit Stretch Cotton Denim Bermuda Shorts, Nike Air Force 1 Sneaker","cay-ear-cuffs.jpg, cream-relaxed-terry-shirt.jpg, 2-pack-standard-tank-top.jpg, john-bracelet.jpg, mens-slim-fit-stretch-cotton-denim-bermuda-shorts.jpg, nike-air-force-1-sneaker.jpg",Formal,"225000, 820000, 250000, 230000, 800000, 1549000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B4%5D,origin%5Bdam%5D,source%5B%2Fa0%2Fe5%2Fa0e5ab1dcbd9f3c2925dad9322ee34e26fe30837.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Earrings, Necklace, Shirt, Short, Shoes","Cay Ear Cuffs, Jace Necklace, Black Relaxed Resort Terry Shirt, Austin Jersey Short, Dr. Martens Vintage 2976 Leather Chelsea Boots Black","cay-ear-cuffs.jpg, jace-necklace.jpg, black-relaxed-resort-terry-shirt.jpg, austin-jersey-short.jpg, dr-martens-vintage-2976-leather-chelsea-boots-black.jpg",Street,"225000, 320000, 820000, 675000, 2000000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2Fa9%2Fb3%2Fa9b3729f516399b01ce02714330ba7360634d677.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Earrings, Shirt, Tank Top, Shorts, Shoes","Cay Ear Cuffs, Lighty Green Relaxed Resort Terry Shirt, Dusty Khaki Standard Tank Top, Lighty Green Austin Jersey Shorts, Skate Piero Original Lorentz Off White LT Grey","cay-ear-cuffs.jpg, lighty-green-relaxed-resort-terry-shirt.jpg, dusty-khaki-standard-tank-top.jpg, lighty-green-austin-jersey-shorts.jpg, skate-piero-original-lorentz-off-white-lt-grey.jpg",Casual,"225000, 820000, 150000, 675000, 350000",Man,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F20%2Fec%2F20ecf89e1361c4b6b1c128a81056ea7fcfaa0d0a.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
white,"Jacket, Hoodie, Jeans, Shoes","Military Airborne Flight Tactical Bomber Jacket, H&M Relaxed Fit Grey Hoodie, Blue Slim Fit Jeans, Adidas Stan Smith White","military-airborne-flight-tactical-bomber-jacket.jpg, h-and-m-relaxed-fit-grey-hoodie.jpg, blue-slim-fit-jeans.jpg, adidas-stan-smith-white.jpg",Casual,"580000, 500000, 415000, 1200000",Man,https://www.pinterest.com/madamsassypants/dude-fashion/
white,"Cap, T-Shirt, Pants, Socks, Sneakers","Black Norton Caps, Pocket Boxy Cut Oversized Grey T-Shirt, Teflon Switchable Cover Pants, Long Black Nike Shoes, Nike EXP X14 Just Do It Pack Black","black-norton-caps.jpg, pocket-boxy-cut-oversized-grey-tshirt.jpg, teflon-switchable-cover-pants.jpg, long-black-nike-shoes.jpg, black-norton-caps.jpg",Street,"370000, 65000, 5000000, 150000, 2500000",Man,https://pbs.twimg.com/media/Dh8C7J3XcAACtNQ.jpg:large
white,"Waistcoast, Shirt, Tie, Chino, Shoes","Camel Hair Herringbone Jumper Waistcoat, Gingham Brown Shirt, Brown Tie, Uniqlo Black Chino Skinny Fit, Black Pantofel","camel-hair herringbone-jumper-waistcoat.jpg, gingham-brown-shirt.jpg, brown-tie.jpg, uniqlo-black-chino-skinny-fit.jpg, black-pantofel.jpg",Vintage,"5000000, 800000, 220000, 600000, 1000000",Man,https://media.istockphoto.com/id/1141636771/photo/portrait-of-a-handsome-chinese-young-man-with-korean-style-clothes-walking-on-street-in-hurry.jpg?s=612x612&w=0&k=20&c=lpTlb9A2_DEaCCHC7v3X9cCuW4pZ--FDMIpG-EiI0Gs=
white,"Caps, Shirt, Chinos, Sneakers","Nike Sportswear Heritage 86, AIRism Pique Short Sleeve Polo, Asos Chinos Light Grey, Nike Air Force 1","nike-sportswear-heritage-86-futura-washed-cap.jpg, pique-short-sleeve-polo-shirt.jpg, asos-chinos-light-grey.jpg, nike-air-force-1-sneaker.jpg",Casual,"249000, 299000, 303206, 1549000",Man,
white,"Top, Pants, Shoes","Double Patchwork I-Tech Tee, Summer Casual Straight-Leg Hip-Hop Grey Sweatpants, Vintage Blue Converse","double-patchwork-itech-tee.jpg, summer-casual-straightleg-hiphop-grey-sweatpants.jpg, vintage-blue-converse.jpg",Casual,"600000, 700000, 799000",Woman,https://www.instagram.com/p/CsYodErva3K/?hl=en
middle eastern,"Blouse, Jeans, Sneakers","Chiffon Ruffle Sleeve, H&M Flare High Waist Jeans, Women Flat White Shoes Casual Embroidery Sneakers","chiffon-ruffle-sleeve-blouse.jpg, h&m-flare-highwaist-jeans.jpg, women-flat-white-shoes-casual-embroidery-sneakers.jpg",Casual,"120000, 429900, 298600",Woman,
middle eastern,"Shirt, Pants, Sandals","Plain Button Front Plaid Shirt, Men Drawstring Waist Slant Pocket Pants, Mint Crocs","plain-button-front-plaid-shirt.jpg, men-drawstring-waist-slant-pocket-pants.jpg, mint-crocs.jpg",Formal,"640000, 460000, 744100",Man,https://www.instagram.com/p/CsWG7cBSXiY/?hl=en
middle eastern,"T-Shirt, Jeans, Shoes","White T-Shirt, Astro Loose Baggy Jeans, Adidas Velosamba Vegan Cycling Shoes","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Man,
middle eastern,"Abaya, High Heels","LB51 Organza Abaya, High Heels Shoes","lb51-organza-abaya.jpg, high-heels-shoes.jpg",Formal,"12000000, 1000000",Woman,https://cdn.shopify.com/s/files/1/0527/8367/7631/products/LB51_011_1400x_d2bb9a55-08e1-472b-aff9-a409ddb32c06_700x.jpg?v=1648822203
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
middle eastern,,,,Formal,,Unisex,
latino hispanic,"Dress, High Heels","Floral Print Rose Swing Dress, Retro Black White Angkle Strappy High Heels","Floral-Print-Rose-Swing-Dress-Black-Red.jpg, retro-black-white-ankle-strappy-high-heels.jpg",Vintage,"562000, 887000",Woman,https://outfittrends.b-cdn.net/wp-content/uploads/2015/05/swing.jpg.webp
latino hispanic,"Earrings, Top, Sweater, Skirt, Boots","Kate Earrings, Ring Asymmetric Top, Everyly Sweater, Rhea Long Denim Skirt, Tommy Hilfiger Plaque Ankle Boots","kate-earrings.jpg, ring-asymmetric-top.jpg, everyly-sweater.jpg, rhea-long-denim-skirt.jpg, monogram-plaque-ankle-boots.jpg",Casual,"250000, 330000, 820000, 970000, 2500000",Woman,"https://lp.weekday.com/app003prod?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B1500%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&set=key%5Bresolve.quality%5D,value%5B90%5D&set=ImageVersion%5B1%5D,origin%5Bdam%5D,source%5B%2F02%2F2d%2F022da268fda8620c0211b043e8f4bdf6d942035b.jpg%5D,type%5BLOOKBOOK%5D&call=url%5Bfile%3A%2Fproduct%2Fdynamic.chain%5D"
latino hispanic,"T-Shirt, Jeans, Shoes","White T-Shirt, Astro Loose Baggy Jeans, Adidas Velosamba Vegan Cycling Shoes","white-tshirt.jpg, astro-loose-baggy-jeans.jpg, adidas-velosamba-vegan-cycling-shoes.jpg",Casual,"150000, 890000, 1600000",Man,
latino hispanic,"Sunglasses, Dress, Boots","Trek Sunglasses, Maeve Oversized Dress, Ankle Boots","trek-sunglasses.jpg, maeve-oversized-dress.jpg, ankle-boots.jpg",Street,"600000, 1200000, 800000",Woman,https://lp.weekday.com/app003prod?set=quality%5B79%5D%2Csource%5B%2Fec%2F4f%2Fec4f9922ffb418bca24fd9873a2a975a8672e749.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D%2Ctarget%5Bhm.com%5D&call=url[file:/product/main]
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,
latino hispanic,,,,Formal,,Unisex,